Centroide-Centroide;Paquetá;Freguesia (Ilha);Bancários;Galeão;Tauá;Portuguesa;Moneró;Vigário Geral;Cocotá;Jardim América;Jardim Carioca;Pavuna;Cordovil;Jardim Guanabara;Parada de Lucas;Parque Colúmbia;Praia da Bandeira;Penha Circular;Cacuia;Irajá;Anchieta;Acari;Pitangueiras;Costa Barros;Brás de Pina;Penha;Zumbi;Ribeira;Coelho Neto;Guadalupe;Parque Anchieta;Barros Filho;Vista Alegre;Ricardo de Albuquerque;Colégio;Honório Gurgel;Olaria;Vila da Penha;Maré;Vila Militar;Cidade Universitária;Rocha Miranda;Ramos;Realengo;Vila Kosmos;Marechal Hermes;Vicente de Carvalho;Paciência;Engenho da Rainha;Complexo do Alemão;Vaz Lobo;Padre Miguel;Bento Ribeiro;Turiaçú;Bonsucesso;Inhaúma;Tomás Coelho;Santíssimo;Madureira;Osvaldo Cruz;Santa Cruz;Magalhães Bastos;Senador Camará;Cavalcanti;Campo dos Afonsos;Higienópolis;Manguinhos;Engenheiro Leal;Pilares;Del Castilho;Piedade;Cascadura;Vila Valqueire;Maria da Graça;Quintino Bocaiúva;Jardim Sulacap;Campinho;Abolição;Senador Vasconcelos;Cosmos;Jacarezinho;Cachambi;Praça Seca;Benfica;Engenho de Dentro;São Cristóvão;Vasco da Gama;Inhoaíba;Todos os Santos;Jacaré;Encantado;Rocha;Méier;Gamboa;Santo Cristo;Centro;Sampaio;Riachuelo;Saúde;São Francisco Xavier;Engenho Novo;Mangueira;Tanque;Taquara;Água Santa;Lins de Vasconcelos;Freguesia (Jacarepaguá);Cidade Nova;Praça da Bandeira;Vila Isabel;Maracanã;Glória;Rio Comprido;Santa Teresa;Estácio;Tijuca;Catumbi;Grajaú;Pechincha;Andaraí;Catete;Flamengo;Laranjeiras;Guaratiba;Vargem Grande;Alto da Boa Vista;Cosme Velho;Curicica;Botafogo;Urca;Cidade de Deus;Sepetiba;Anil;Jacarepaguá;Camorim;Humaitá;Gardênia Azul;Jardim Botânico;Vargem Pequena;Copacabana;Leme;Lagoa;Itanhangá;Gávea;Barra da Tijuca;Leblon;c(-43.2031639, -22.9841183);São Conrado;Rocinha;Pedra de Guaratiba;Recreio dos Bandeirantes;Vidigal;Joá;Barra de Guaratiba;Grumari;Caju;Deodoro;Lapa;Campo Grande;Bangu;Gericinó;Jabour;Vila Kennedy;Ilha de Guaratiba
Todos os Santos;34131;23989;21446;20572;20650;18536;20202;15686;21679;13539;19861;13713;13974;19332;12321;13743;21959;12461;21509;9304;17376;12722;21590;14958;12502;10924;22059;23187;14912;14937;16687;13981;10086;14762;9779;12209;8954;7986;9292;14937;11208;10924;8736;17835;8060;11221;9150;41473;5692;7254;9131;20685;9347;9134;7624;5552;4666;29411;9680;8684;46733;16169;24937;5922;15620;4638;8529;6104;2473;3892;4294;7225;11696;3683;5737;17465;8056;3420;28732;41622;4489;2079;10540;6821;3602;7994;7908;40874;0;4090;4012;4706;1935;12956;11566;12634;3587;4343;12959;7142;3224;7136;12444;14530;12166;3890;9230;9956;11638;6220;7633;20934;11641;12107;10364;7714;11443;6988;9865;6915;15232;21109;14259;39991;31459;16943;15653;16469;16233;19167;12603;54433;13603;15456;22168;16745;13651;17685;26285;18642;19323;16285;20888;19190;17600;19073;19958;22530;22733;47123;29204;22208;25900;41967;36781;11550;13800;12491;35774;23211;23507;23908;24777;40438
Jacaré;31340;21198;18655;17781;17859;15745;17411;14672;18888;16527;17070;15581;12960;16541;14189;15612;19168;11447;18718;11172;20717;14590;18799;16826;11488;9909;19268;20396;16747;16806;22651;15675;11954;20727;11647;14814;7939;9854;6501;20678;8416;12792;7722;22637;9928;16023;11018;47214;6845;6239;12091;25487;14149;13579;4833;4858;7483;35152;14482;13486;52474;20971;29739;8739;20422;3308;4588;11047;6633;4280;8349;12027;16499;2399;10764;22491;12858;8446;37703;47363;1511;2412;15342;2737;5912;5147;5061;46615;5797;0;9039;1859;4245;10109;8718;11527;2175;2930;10112;4295;3885;4289;17471;19557;17193;5420;14257;8574;8791;4467;6152;18086;10161;10353;8883;5961;9962;6472;14892;5161;14125;18262;12893;49839;36486;15189;14287;21496;14867;17801;17629;60175;18629;20483;27195;15125;18678;16065;31312;17023;17957;14665;19134;17571;22627;17453;18338;20910;21113;52149;34231;20588;24280;46994;41808;8703;18081;11125;41515;28953;29249;28710;30519;45465
Encantado;35178;25036;22493;21619;21697;19583;21249;16733;22726;18589;20908;14572;15021;20379;16650;14602;23006;13508;22556;10341;15873;13580;22637;14211;13549;11970;23106;24234;13409;13611;15184;12478;11644;13260;10638;10706;10000;10070;10339;13434;12254;10337;9783;16333;10144;9718;9886;39970;8586;8300;7628;19182;7844;7631;8671;6599;6750;27908;8177;7181;45230;14666;23434;6684;14117;7512;9576;5317;4556;5507;1484;4522;10194;6931;2766;15277;6553;2263;27229;40119;6747;4337;9037;9474;2106;10253;12846;39371;2883;6348;0;6964;3684;16653;15262;18071;5846;6601;16656;9400;5483;9395;10257;12343;9978;3904;7043;15757;15974;8478;9891;24630;17731;14365;16454;9973;17332;8738;7678;9173;20669;24806;20076;45494;29272;19201;21469;14281;22050;24983;10415;52930;11415;13268;19980;22817;11464;23757;24098;24715;25139;22357;18591;25263;15413;25146;26030;28603;28805;44935;27016;28280;26479;39780;34593;15247;12297;18307;34271;21709;22004;22405;23275;38251
Rocha;31874;21731;19189;18315;18393;16278;17945;16653;19422;18014;17604;17024;14388;17075;19588;17054;19701;13158;19252;12615;22160;16032;19333;18269;12468;10889;19802;20929;18190;18248;24094;17118;13397;22170;13090;16256;8919;11297;7027;22121;8950;14234;7657;24080;11371;17466;12461;48657;8288;8348;13534;26930;15592;15022;5288;6300;8926;36595;15924;14929;53917;22414;31182;10182;21864;5176;4320;12490;8076;5722;8764;13470;17942;3842;10046;23934;14300;9889;39146;48806;2954;4327;16785;2470;6824;3643;3557;48058;6211;1675;7721;0;5157;8606;7215;10023;3618;4225;8608;2791;4299;2785;18914;21000;18636;5834;15700;7071;7287;4364;4648;16583;8657;8639;7380;7057;8458;7915;16335;6604;12621;16758;11389;51282;37929;15973;12783;22938;13363;16297;19072;61618;20072;21926;28638;13621;20121;14561;32755;15519;16453;13161;19918;16067;24070;15950;16834;19407;19609;53592;35674;19084;22776;48437;43250;7199;19524;9621;42958;30396;30692;30152;31962;46908
Méier;37337;27195;24652;23778;23856;21742;23408;18892;24885;15180;23067;15354;17180;22538;13961;15384;25165;15667;24715;10944;18293;14362;24796;16632;15708;14129;25265;26393;15830;16031;17604;14899;11727;15680;11420;13126;12159;9626;12498;15854;14413;12757;11942;18753;9700;12139;10791;42390;7332;10459;10049;21602;10265;10051;10830;8758;6306;30328;10597;9601;47651;17087;25854;7563;16537;6278;9360;7738;4113;7666;4399;7437;12614;4666;5681;16990;8973;4683;29649;42539;5402;3445;11458;7509;1850;8264;9471;41791;2155;5003;3356;5540;0;13612;11546;12642;3595;4350;13615;6862;3101;7406;11969;14055;11691;1769;8755;9964;10725;6228;7640;18350;11649;12114;10372;7722;11451;5999;9390;6923;15240;17512;14267;40909;30984;16951;15660;15994;16241;19174;12128;55351;13128;14981;21693;16752;13176;17693;25810;18650;19330;16292;20896;19198;17125;19081;19965;22538;22740;46648;28729;22215;25908;41492;36306;12384;14718;12498;36691;24129;24425;24825;25695;39963
Gamboa;32395;22253;19711;18837;18915;16800;18467;19594;19944;20955;18125;24908;17329;17597;22529;23768;20223;16099;19774;19066;29946;22139;19855;26153;17670;15295;20323;21451;25982;26034;31880;24909;19934;29956;19542;22708;13325;17748;9968;29907;9924;20686;13084;30215;17822;23601;18913;56443;14739;12754;19985;33064;21727;21513;9954;12444;15377;44381;22059;21063;61703;31919;41727;16634;27999;10402;9519;18624;14210;12530;17196;19604;24076;11695;18341;30069;20435;16024;46932;56592;10092;12815;22920;7669;17218;5121;6872;55844;12797;9684;16617;8582;11591;0;1617;3390;9175;8741;1975;7307;10764;6882;25049;27135;24770;12420;21835;3552;5686;8880;5741;9098;6521;6072;4748;8971;4078;10915;22470;9580;5988;7687;6268;59067;44063;17601;7662;29073;8243;11176;25207;69403;26207;28060;34772;9593;26255;14093;38890;11413;11332;12693;21546;15598;30205;15481;16366;18938;19140;59727;41808;18616;22308;54572;49385;6050;27309;4137;50744;38181;38477;40698;39747;53043
Santo Cristo;31820;21678;19136;18262;18340;16225;17892;19100;19369;20460;17550;24414;16835;17022;22035;23274;19648;15604;19199;18572;29451;21645;19280;25659;17176;14800;19748;20876;25487;25540;31386;24415;19440;29461;19048;22214;12830;17254;9474;29413;9349;20192;12590;29721;17328;23106;18419;55948;14245;12259;19491;32570;21233;21019;9460;11950;14883;43886;21565;20569;61209;31425;41233;16139;27505;9908;9024;18130;13716;12036;16702;19110;23582;10282;17847;29575;19941;15530;46438;56097;9597;10017;22425;7175;16724;3406;5157;55349;11082;8115;16122;7014;9876;3300;0;4718;7460;7026;3302;5592;9049;5167;24554;26640;24276;10705;21340;3347;4624;7164;4026;10425;6351;7304;4542;7256;3873;9200;21976;7865;7315;9308;6063;58573;43569;16172;7457;28579;8037;10971;24713;68909;25713;27566;34278;9387;25761;12378;38395;11207;11127;10978;20117;13883;29711;13766;14650;17223;17425;59233;41314;16900;20593;54078;48891;5555;26815;4701;50249;37687;37983;40203;39253;52548
Centro;34967;24825;22282;21408;21486;19372;21038;22166;22515;23526;20697;27480;19900;20168;25100;26340;22795;18670;22345;21638;32517;24710;22426;28724;20242;17866;22895;24023;28553;28606;34451;27481;22505;32527;22113;25279;15896;20320;12539;32478;12496;23257;15655;32786;20394;26172;21484;59014;17310;15325;22557;35636;24298;24085;12526;15015;17949;46952;24631;23635;64274;34490;44298;19205;30571;12973;12090;21196;16782;15102;15399;22176;26648;12047;16681;32640;23007;18596;49503;59163;11159;11782;25491;10241;13491;5851;7212;58415;12847;9880;14356;8778;11640;2482;4940;0;9225;8791;1813;7356;10763;7866;27620;29706;27342;12470;24406;3476;4014;8179;5717;6412;6651;7604;4534;8948;3865;10914;25041;9578;3633;5114;5155;61639;46635;17864;6549;31645;7313;9677;27778;71975;28779;30632;37344;8663;28827;12678;41461;9914;9833;11277;26246;14183;32776;14066;14950;17523;17725;62299;44380;17200;20893;57143;51957;8621;29881;2155;53315;40753;41049;43269;42319;55614
Sampaio;34909;24767;22224;21350;21428;19314;20980;16054;22457;17909;20639;16963;14341;20111;15571;16994;22737;12829;22288;12554;22099;15972;22368;18208;12870;11291;22837;23965;17605;18188;19380;17057;13336;17455;13029;14902;9321;11236;10070;17630;11986;14174;9104;20528;11310;13914;12400;44166;8227;7621;11824;23378;12040;11827;8402;6240;8865;32104;12372;11377;49426;18862;27630;10121;18313;5459;7372;9513;5580;5662;6174;9213;14390;3781;7456;19923;10748;6459;31425;44315;2893;2557;13233;5522;4266;5755;6962;43567;3622;2494;5131;3407;2415;11657;9037;10133;0;1842;11660;4353;1710;4897;14903;16989;14624;3245;11689;7455;8216;3719;5132;15841;9140;9606;7863;5213;8942;5725;12324;4414;12731;15003;11758;42684;33917;14442;13152;18927;13732;16666;15061;57126;16061;17914;24626;14244;16109;15184;28744;16141;16822;13784;18387;16689;20059;16572;17456;20029;20232;49581;31662;19706;23399;44426;39239;10251;16493;9990;38467;25904;26200;26600;27470;42897
Riachuelo;33865;23723;21180;20306;20384;18270;19936;15881;21413;20073;19595;16791;16447;19066;15399;16821;21693;12656;21243;12382;21927;15799;21324;18035;12698;11119;21793;22921;17957;18015;20296;16885;13164;18372;12857;16023;9149;11064;9086;21888;11009;14001;8931;21445;11138;14830;12228;48424;8054;7448;13301;24294;12957;12743;7347;6067;8692;36362;13289;12293;53684;19778;28546;9949;19229;5287;6379;10429;7842;5489;7091;10129;15306;3609;8373;20840;11665;7375;32341;48573;2721;3473;14150;4530;5182;4396;5603;47825;4538;2322;6048;4416;3332;9744;7678;8774;916;0;9747;2994;2626;3538;15819;17905;15541;4161;12605;6096;6857;3487;3772;14482;7781;7763;6504;6181;7582;6189;13240;4878;11372;13643;10398;43601;34834;15097;11792;19844;12373;15306;15978;61384;16978;18831;25543;12884;17026;13824;29660;14782;15462;12424;19042;15330;20975;15213;16097;18670;18872;50498;32579;18347;22040;45342;40156;9258;19290;8630;42725;30162;30458;27517;31728;43813
Saúde;33308;23166;20624;19750;19828;17714;19380;20507;20857;21868;19039;25821;18242;18510;23442;24681;21136;17012;20687;19980;30859;23052;20768;27066;18583;16208;21236;22364;26895;26947;32793;25823;20847;30869;20455;23621;14238;18661;10881;30820;10837;21599;13997;31128;18736;24514;19826;57356;15652;13667;20899;33978;22640;22426;10868;13357;16290;45294;22972;21976;62616;32832;42640;17547;28912;11315;10432;19537;15124;13443;18109;20518;24989;12292;19254;30982;21348;16937;47845;57505;11005;12026;23833;8582;18131;6096;7456;56757;13091;10124;17530;9023;11885;952;2453;1962;9469;9035;0;7601;11007;7795;25962;28048;25683;12714;22748;3720;4258;8423;5962;7670;6896;7848;5618;9192;4482;11158;23383;9823;4560;6260;7159;59981;44976;18108;8553;29986;8459;10935;26120;70316;27120;28974;35686;9808;27169;12922;39803;11172;11091;11522;26490;14427;31118;14310;15194;17767;17970;60640;42722;17444;21137;55485;50298;6963;28222;2709;51657;39095;39390;41611;40661;53956
São Francisco Xavier;33581;23439;20896;20022;20100;17986;19652;18428;21129;19789;19311;17743;16163;18782;16351;17773;21409;14933;20959;13334;22879;16751;21040;18987;13650;12071;21509;22637;18909;18967;21248;17837;14116;19324;13809;16975;10101;12016;8802;22840;10725;14953;9883;22397;12090;15782;13180;49376;9006;8400;14253;25246;13909;13695;7063;7019;9644;37314;14241;13245;54636;20730;29498;10901;20181;6239;6095;11381;8794;6441;8043;11081;16258;4561;9325;21792;12617;8327;33293;49525;3673;4425;15102;4246;6134;4112;5319;48777;5490;3274;7000;4132;4284;9460;7394;8490;1868;1434;9463;0;3578;3254;16771;18857;16493;5113;13557;5812;6573;3204;3488;14198;7497;7479;6220;5897;7298;6799;14192;5464;11088;13359;10114;44553;35786;14813;11508;20796;12089;15022;16930;62336;17930;19783;26495;12600;17978;13540;30612;14498;15178;12140;18758;15046;21927;14929;15813;18386;18588;51450;33531;18063;21756;46294;41108;8974;20242;8346;43677;31114;31410;28469;32680;44765
Engenho Novo;35662;25520;22977;22103;22181;20067;21733;16807;23210;18662;21392;17716;15094;20864;16324;17746;23490;13582;23040;13307;19918;16724;23121;18961;13623;12044;23590;24718;17454;17656;19229;16524;14089;17305;13782;14751;10074;11989;10823;17479;12738;14382;9856;20378;12063;13763;13153;44015;8980;8374;11673;23227;11890;11676;9155;6992;7622;31953;12222;11226;49275;18711;27479;8879;18162;6212;7604;9362;5429;6415;6024;9062;14239;4534;7306;19772;10598;6308;31274;44164;3646;3148;13082;5753;4115;6508;7715;43416;3471;3247;4980;3999;2265;11856;9790;10886;1839;2594;11859;5106;0;5650;14752;16838;14474;3094;11538;8208;8969;4472;5884;16594;9893;10358;8616;5966;9695;4051;12173;5167;13484;15756;12511;42534;33767;15195;13904;18776;14485;17419;14910;56976;15910;17764;24476;14996;15959;15937;28593;16894;17574;14536;19140;17442;19908;17325;18209;20782;20984;49430;31512;20459;24152;44275;39089;10843;16342;10742;38316;25754;26050;26450;27320;42746
Mangueira;32252;22110;19568;18694;18772;16658;18324;17100;19801;18460;17982;18568;14835;17454;20035;21274;20080;13604;19631;14159;23704;19645;19712;19812;12914;11335;20180;21308;19734;19792;25638;18662;14941;23713;14634;17800;9366;12840;7474;23665;9397;15778;8104;23737;12914;17123;14005;50201;9831;8794;15078;26587;15249;16565;5735;7844;10469;38139;15582;14586;55461;22071;30839;11726;21522;5623;4767;14665;10251;6618;9383;12422;17599;6031;10665;26110;13958;12065;40690;50350;5143;5766;16442;2917;7475;2783;3990;49602;6831;3864;8340;2762;5624;8137;6071;7573;3209;2775;8140;1340;6335;0;21090;23176;20811;6454;17876;4902;5119;2913;3198;13281;7207;7188;5929;5607;7008;6509;18510;5173;10171;12466;9221;52825;40104;14523;10615;25114;11195;14129;21248;63161;22248;24101;30813;12310;22296;13250;34930;14208;14285;11850;18468;14756;26246;14638;15523;18096;18298;55768;37849;17773;21465;50612;45426;7646;21067;7453;44502;31939;32235;29810;33505;49083
Tanque;43468;33325;30783;29909;29987;27872;29539;16682;31016;17701;29198;15011;14970;28669;17089;15041;31295;15007;30846;10780;15313;14019;30927;14650;13825;14284;31396;32523;13848;14050;14624;12917;12083;12700;11077;11145;18290;11460;18628;12874;20544;10776;18073;13044;11145;9599;10325;37990;11446;16590;8067;15894;7233;8070;16960;14889;11642;25928;8616;7326;43250;11862;20146;8628;11772;15801;17866;7262;12846;13797;8964;6162;5822;15221;7196;6765;4498;9011;23941;38139;16670;13721;3314;17764;10033;21871;21136;37391;12491;17170;10892;16572;12814;24943;23552;26361;15453;16208;24946;19767;15090;19762;0;4411;7404;12397;4732;24047;24264;18086;19498;32920;26021;26973;24744;19580;25622;17867;2663;18781;28958;33096;28365;35201;21545;28809;29759;6327;30340;33273;5023;50950;7237;5315;11529;31107;7543;32047;16371;33005;33429;30647;14413;27834;11492;28379;34320;24384;25584;41015;23096;27377;22558;35859;30673;23537;11737;26597;32291;19728;20024;19117;21294;34330
Taquara;45152;35010;32467;31593;31671;29557;31223;24116;32700;22609;30882;19014;23392;30353;21996;20317;32980;18260;32530;14033;15648;19295;32611;17422;17077;21944;33080;34208;16617;16822;15775;15689;15336;13851;14330;16916;19975;14713;20313;10809;22228;14028;19757;10068;14398;12852;13578;35017;18560;18274;11320;12917;10485;11323;18645;16573;16724;22954;11868;10579;40277;8888;17169;11881;14293;17486;19550;10514;14531;15481;14444;9414;9484;16906;10449;5710;7750;13713;20964;35165;18354;15405;6567;19448;11718;23556;22821;34418;14175;18854;12576;18256;14498;26628;25237;28045;17137;17893;26630;21452;16774;21446;4151;0;9088;14081;6417;25731;25948;19770;21183;34605;27705;28658;26428;21264;27306;19552;4348;20465;30643;34780;30050;32224;21066;30493;31444;5848;32024;34958;5297;47977;8921;4835;11050;32791;7729;33732;15892;34689;35114;32331;16097;29519;13177;30063;36004;26068;27268;37136;19217;29061;24243;31980;26794;25221;14406;28282;29317;16755;17051;16140;18321;30451
Água Santa;36063;25921;23379;22505;22583;20468;22135;17619;23612;19474;21793;16682;15906;21265;15290;16713;23891;14394;23442;12273;19118;15691;23523;17456;14435;12856;23991;25119;16654;16855;18428;15723;13056;16504;12749;13950;10886;10955;11224;16678;13140;13581;10669;19577;11029;12963;12120;43214;9472;9186;10873;22426;11089;10875;9556;7485;7635;31152;11421;10425;48475;17911;26678;8892;17361;8397;10462;7846;5442;6392;5355;8445;13438;7817;6689;16686;9797;4624;30473;43363;9266;6317;12282;10360;2629;14467;13732;42615;5087;9766;3488;9168;5410;17539;16148;18956;8049;8804;17542;12363;7686;12358;11666;13752;0;4993;8452;16643;16859;10682;12094;25516;18617;19569;17339;12176;18217;10463;9087;11377;21554;25692;20961;46902;30680;21405;22355;15690;22936;25869;11824;56175;12824;14677;21390;23703;12872;24643;25506;25600;26025;23243;20000;26149;16822;26031;26916;29488;29691;46344;28425;29166;27888;41189;36002;16133;15542;19193;37515;24953;25249;25649;26519;39660
Lins de Vasconcelos;37419;27277;24735;23860;23939;21824;23491;18564;24968;20420;23149;16712;16852;22621;15319;16742;25247;15339;24798;12303;19960;15720;24879;18299;15380;13801;25347;26475;17497;17698;19272;16566;13085;17347;12778;14793;11831;10984;12580;17522;14496;14424;11614;20420;11058;13806;12149;44057;8690;10131;11716;23269;11932;11718;10912;8750;7665;31995;12264;11268;49318;18754;27522;8921;18204;7969;9361;9405;5471;8072;6066;9104;14281;6291;7348;18017;10640;6350;31316;44206;5403;4906;13125;7510;2878;8265;9472;43458;3513;5005;5023;5756;2397;13614;11547;12643;3596;4352;13616;6864;2878;7407;12997;15083;12718;0;9783;9965;10727;6229;7642;18351;11650;12116;10373;7724;11452;5755;10418;5600;15241;17513;14268;48234;32012;16952;15662;17021;16242;19176;13155;57018;14155;16008;22721;16754;14204;17694;26838;18652;19332;16294;20897;19200;18153;19082;19967;22539;22742;47675;29756;22217;25909;42520;37334;12600;16385;12500;38358;25796;26092;26492;27362;40991
Freguesia (Jacarepaguá);40242;30100;27557;26683;26761;24647;26314;21798;27790;23653;25972;20861;20085;25444;19469;20891;28070;18572;27620;16452;19280;19870;27701;18618;18614;17035;28170;29298;17816;18017;18591;16885;17234;16667;16927;15112;15065;15134;15403;16903;17318;14743;14847;16165;15208;13566;16298;41110;13651;13364;12034;19015;11200;12037;13735;11664;11814;29048;12583;11293;46371;14982;23267;13070;15739;12576;14640;12024;9621;10571;9534;10129;9790;11996;10867;9886;8465;8803;27062;41259;13444;10496;7282;14538;6808;18646;17911;40511;9265;13944;7666;13346;9588;21718;20327;23135;12228;12983;21720;16542;11864;16536;4865;6951;4179;9171;0;20821;21038;14860;16273;29695;22795;23748;21518;16354;22396;14642;2286;15555;25733;29870;25140;39959;23737;25583;26534;8890;27114;30048;4306;47685;3986;7877;14446;27881;5245;28822;18563;29779;30204;27421;11162;30327;9878;30210;31094;22770;23969;39400;21482;25763;20944;34245;29059;20311;15705;23372;35411;22849;23145;22238;24415;32716
Cidade Nova;32432;22290;19748;18873;18952;16837;18504;19631;19981;20992;18162;24945;17366;17634;22566;23805;20260;16135;19811;19103;29982;22176;19892;26190;17707;15331;20360;21488;26018;26071;31917;24946;19970;29992;19578;22744;13361;17785;10005;29944;9961;20723;13120;30252;17859;23638;18950;56480;14776;12790;20022;33101;21764;21550;9991;12480;15414;44417;22096;21100;61740;31956;41764;16670;28036;10439;9556;18661;14247;12567;13487;19641;24113;10135;18378;30106;20472;16061;46969;56628;9247;9870;22956;7706;11578;4682;6042;55880;10934;7968;16654;6866;9728;5035;3030;2992;7313;6878;3698;5444;8850;5954;25086;27171;24807;10557;21872;0;3046;6267;3805;8118;3441;4394;1668;5935;1709;8288;22506;6953;4967;7713;4468;59104;44100;14521;5862;29110;6442;9376;25244;69440;26244;28097;34809;7792;26292;9482;38926;9612;9532;8082;18466;10988;30242;10870;11755;14328;14530;59764;41845;14005;17697;54608;49422;6086;27346;2700;50780;38218;38514;40734;39784;53079
Praça da Bandeira;31155;21013;18471;17596;17675;15560;17227;19974;18704;21334;16885;21215;17709;16357;22908;24148;18983;16478;18534;16806;30325;22519;18615;22460;18050;14218;19083;20211;26361;26414;32259;25289;17588;30335;17281;20447;12248;15488;10347;30286;8684;18425;10987;25739;15562;19125;16652;56822;12479;11677;17725;28588;17251;17037;8618;10492;13117;44760;17583;16588;62083;24073;32840;14373;23523;8506;7650;16680;12267;9500;11385;14423;19600;8033;12667;28125;15959;14080;47311;56971;7145;7768;18444;5800;9476;1837;3198;56223;8832;5866;10342;4764;7626;6030;3963;5466;5211;4776;6032;3342;6748;3852;23105;25191;22826;8455;19891;2795;0;4165;1703;11173;4739;5692;3462;4934;4540;6900;20526;5564;8063;10358;7113;59447;42120;13850;8507;27129;9087;12021;23263;69783;24263;26117;32829;9825;24312;10765;36946;11723;12177;9365;17795;12271;28261;12153;13038;15611;15813;57783;39865;15288;18980;52628;47442;6429;27689;5345;51123;38561;38857;31811;40127;51099
Vila Isabel;35000;24858;22315;21441;21520;19405;21072;17377;22548;19232;20730;18286;15664;20202;16894;18316;22828;14152;22378;13877;23422;17295;22459;19531;14193;12614;22928;24056;19452;19510;25356;18380;14659;23432;14352;17518;10644;12559;11393;23383;13308;15496;10427;23055;12633;16440;13723;49919;9550;8944;14796;25904;14567;14353;9725;7562;10188;37857;14899;13903;55179;21388;30156;11444;20839;6782;7088;13752;9338;6985;8701;11739;16916;5104;9983;25196;13275;11151;33951;50068;4216;4935;15759;5238;6792;5082;6443;49320;6148;3817;7658;5445;4942;9298;7232;8327;2378;3133;9300;2780;2979;6354;20176;22262;19898;5771;16962;5649;6354;0;3326;14035;6154;6637;5734;3078;6813;3642;17597;2278;10232;13197;9952;52544;39191;12306;11346;24200;11926;14860;20334;62880;21334;23188;29900;12438;21383;13378;34017;14336;15016;11978;16251;14884;25332;14766;15651;18223;18426;54854;36936;17901;21593;49699;44513;9697;20786;7965;44220;31658;31954;29127;33224;48170
Maracanã;33308;23166;20623;19749;19827;17713;19379;19198;20856;20558;19038;20763;16932;18509;22132;23371;21136;15702;20686;16354;25899;21742;20767;22008;15012;13433;21236;22364;21929;21988;27833;20857;17136;25909;16830;19996;11463;15036;9571;25860;10837;17974;10202;25532;15110;18918;16201;52396;12027;10892;17273;28381;17044;16830;7832;10040;12665;40334;17376;16380;57656;23866;32633;13921;23316;7721;6865;16229;11815;8715;11178;14216;19393;7581;12460;27674;15752;13628;36428;52545;6693;7412;18236;5015;9269;3390;4750;51797;8625;5080;10135;3979;7419;7605;5539;6635;4855;3991;7608;2557;5456;4662;22653;24739;22375;8248;19439;3957;4661;2873;0;12343;5069;5552;4365;3528;5444;5598;20074;4262;9233;11504;8260;55021;41668;12444;9654;26678;10234;13168;22812;65357;23812;25665;32377;10745;23860;11686;36494;12643;13324;10286;16389;13191;27809;13074;13958;16531;16733;57332;39413;16208;19901;52176;46990;8005;23263;6492;46697;34135;34431;31604;35701;50647
Glória;36596;26454;23912;23038;23116;21001;22668;23795;24145;25156;22326;29109;21530;21798;26730;27969;24424;20300;23975;23267;34146;26340;24056;30354;21871;19495;24524;25652;30182;30235;36081;29110;24135;34156;23742;26909;17526;21949;14169;34108;14125;24887;17285;34416;22023;27802;23114;60644;18940;16954;24186;37265;25928;25714;14155;16645;19578;48582;26260;25264;65904;36120;45928;20834;32200;14603;13720;22825;18411;16731;21397;23805;28277;15896;22542;34270;24636;20225;51133;60792;14292;17016;27120;11870;21419;8990;11907;60044;19951;13885;20818;12783;14779;6059;7186;4186;12364;11930;5062;10496;13902;11005;29250;31336;28971;15609;26036;5733;7153;11318;8856;0;8702;8253;6929;11196;6259;14053;26670;12717;4778;7499;6301;63268;48264;19782;7694;33274;8459;10588;29408;73604;30408;32261;38973;9808;30456;13309;43090;10825;10744;11984;26877;14815;34406;16714;14674;18155;18357;63928;46009;18612;21524;58772;53586;10250;31510;3300;54944;42382;42678;44898;43948;57243
Rio Comprido;33205;23063;20520;19646;19724;17610;19276;20404;20753;21764;18935;25718;18139;18406;23338;24578;21033;16908;20584;19876;30755;22949;20664;26962;18480;16104;21133;22261;26791;26844;32690;25719;20743;30765;20351;23517;14134;18558;10777;30716;10734;21496;13893;31024;18632;24410;19722;57252;15549;13563;20795;33874;22536;22323;10764;13253;16187;45190;22869;21873;62513;32728;42536;17443;28809;11211;10328;19434;15020;13340;13750;20414;24886;10398;15033;30879;21245;16834;47741;57401;9510;10133;23729;8479;11842;4945;6306;56653;11198;8231;12707;7130;9992;6460;4393;5163;7576;7142;6462;5708;9114;6217;25858;27944;25580;10821;22644;2666;3515;6530;4069;10017;0;2124;2368;6295;3446;9265;23279;7930;6866;9463;6218;59877;44873;14881;7612;29883;8193;11126;26017;70213;27017;28870;35582;7463;27065;8403;39699;9360;11282;7003;21971;9908;25989;9791;10676;13248;13450;55324;37405;12926;16618;50168;44982;6859;28119;4599;51553;38991;39287;41507;40557;48639
