Centroide-Centroide;Paquetá;Freguesia (Ilha);Bancários;Galeão;Tauá;Portuguesa;Moneró;Vigário Geral;Cocotá;Jardim América;Jardim Carioca;Pavuna;Cordovil;Jardim Guanabara;Parada de Lucas;Parque Colúmbia;Praia da Bandeira;Penha Circular;Cacuia;Irajá;Anchieta;Acari;Pitangueiras;Costa Barros;Brás de Pina;Penha;Zumbi;Ribeira;Coelho Neto;Guadalupe;Parque Anchieta;Barros Filho;Vista Alegre;Ricardo de Albuquerque;Colégio;Honório Gurgel;Olaria;Vila da Penha;Maré;Vila Militar;Cidade Universitária;Rocha Miranda;Ramos;Realengo;Vila Kosmos;Marechal Hermes;Vicente de Carvalho;Paciência;Engenho da Rainha;Complexo do Alemão;Vaz Lobo;Padre Miguel;Bento Ribeiro;Turiaçú;Bonsucesso;Inhaúma;Tomás Coelho;Santíssimo;Madureira;Osvaldo Cruz;Santa Cruz;Magalhães Bastos;Senador Camará;Cavalcanti;Campo dos Afonsos;Higienópolis;Manguinhos;Engenheiro Leal;Pilares;Del Castilho;Piedade;Cascadura;Vila Valqueire;Maria da Graça;Quintino Bocaiúva;Jardim Sulacap;Campinho;Abolição;Senador Vasconcelos;Cosmos;Jacarezinho;Cachambi;Praça Seca;Benfica;Engenho de Dentro;São Cristóvão;Vasco da Gama;Inhoaíba;Todos os Santos;Jacaré;Encantado;Rocha;Méier;Gamboa;Santo Cristo;Centro;Sampaio;Riachuelo;Saúde;São Francisco Xavier;Engenho Novo;Mangueira;Tanque;Taquara;Água Santa;Lins de Vasconcelos;Freguesia (Jacarepaguá);Cidade Nova;Praça da Bandeira;Vila Isabel;Maracanã;Glória;Rio Comprido;Santa Teresa;Estácio;Tijuca;Catumbi;Grajaú;Pechincha;Andaraí;Catete;Flamengo;Laranjeiras;Guaratiba;Vargem Grande;Alto da Boa Vista;Cosme Velho;Curicica;Botafogo;Urca;Cidade de Deus;Sepetiba;Anil;Jacarepaguá;Camorim;Humaitá;Gardênia Azul;Jardim Botânico;Vargem Pequena;Copacabana;Leme;Lagoa;Itanhangá;Gávea;Barra da Tijuca;Leblon;c(-43.2031639, -22.9841183);São Conrado;Rocinha;Pedra de Guaratiba;Recreio dos Bandeirantes;Vidigal;Joá;Barra de Guaratiba;Grumari;Caju;Deodoro;Lapa;Campo Grande;Bangu;Gericinó;Jabour;Vila Kennedy;Ilha de Guaratiba
Senador Vasconcelos;59743;49601;47058;46184;46262;44148;45814;30785;47291;29278;45473;25684;30061;44944;28665;26986;47571;31514;47121;26678;22317;25964;47202;24091;30963;32759;47671;48799;23286;23491;22444;22358;27807;20520;26191;23585;34339;29079;34173;17478;39526;25665;37170;11129;29594;23027;28773;16365;31472;36633;24732;8988;22669;25868;38223;33352;30090;3372;26760;21326;16881;13246;7110;25293;19424;31345;39561;23926;27353;33960;25628;22826;18263;35384;23860;19024;21972;25675;0;12253;36833;29124;21461;37927;27614;43554;42819;9811;28273;31738;26711;32354;29583;46626;45235;48044;31236;31991;46628;34790;30872;34784;22629;21143;28406;30171;25734;45730;45946;33868;35281;54603;47704;48656;46426;35362;47304;34636;23665;34563;50641;54778;50048;13694;35766;44591;51442;23602;52022;54956;24582;24807;28238;22397;27562;52790;27014;53730;32404;54688;55112;52330;35414;55236;31152;55118;56003;44043;45243;22468;31290;47036;42218;29741;33576;45220;21075;48280;7298;8660;11763;4549;8418;21720
Cosmos;70476;60334;57792;56918;56996;54881;56548;41519;58025;40012;56206;36417;40794;55678;39398;37720;58304;42247;57855;37412;33050;36698;57936;34825;41696;43492;58404;59532;34019;34224;33178;33092;38540;31253;36924;34318;45072;39812;51210;28211;50259;36399;47904;21322;40327;33760;39507;4806;42205;47367;39599;19181;33403;36601;48956;44086;40823;12873;37494;34761;5492;23439;17303;42080;35387;46342;50294;39891;42649;44693;42195;33019;28456;46117;34054;29218;32166;42242;10193;0;47566;45691;31654;48660;44182;54287;53552;3348;44840;48066;43278;48921;46150;57359;55968;58777;48893;49648;57362;53935;47439;53930;32822;36039;44353;46738;41681;56463;56680;51184;55793;65336;58437;59390;57160;52678;58038;53190;39612;51879;61375;65512;60782;13345;35433;61907;62175;38498;62756;65689;39478;13418;44185;37293;42458;63523;41910;64463;36930;65421;65845;63063;51362;65969;46047;65851;66736;54727;55926;16671;30957;57720;52901;29408;33244;55953;31808;59013;9444;19394;22497;14742;19152;22813
Jacarezinho;31390;21248;18706;17832;17910;15795;17462;14371;18939;16226;17120;15280;12658;16592;13888;15310;19218;11146;18769;10871;20416;14289;18850;16525;11187;9608;19318;20446;16446;16504;22350;15374;11653;20426;11346;14512;7638;9553;6551;20377;8467;12490;7421;22336;9627;15722;10717;46913;6544;5938;11790;25186;13848;13278;4883;4556;7182;34851;14180;13185;52173;20670;29438;8438;20120;3776;4639;10746;6332;3979;9317;11726;16198;2098;10463;22190;12556;8145;37402;47062;0;3019;15041;2788;9339;5644;5286;46314;6202;958;8738;2847;4996;10334;8943;11752;2581;3336;10337;4791;4290;4786;17170;19256;16892;5825;13956;8949;9288;4872;6626;18311;10275;10758;9357;6366;10436;6878;14591;5567;14350;18487;13252;49538;36185;15595;14646;21194;15226;18160;17328;59874;18328;20182;26894;15738;18377;16678;31011;17636;18316;15278;19540;18184;22326;18066;18951;21524;21726;51848;33930;21201;24893;46693;41507;8928;17780;11484;41214;28652;28948;28408;30218;45164
Cachambi;32870;22728;20186;19312;19390;17275;18942;13722;20419;15578;18600;15015;12010;18072;13623;15046;20698;10497;20249;10606;20151;14024;20330;16260;10538;8960;20798;21926;16181;16240;17932;15109;11389;16008;11082;13454;6990;9288;8031;16182;9947;12226;6772;19081;9362;12467;10453;42718;6279;5290;10377;21930;10593;10379;6363;4292;5270;30656;10925;9929;47979;17415;26182;6526;16865;3128;7268;7490;3076;2382;5460;8470;12942;1604;6742;19409;9301;3865;29977;42867;2130;0;11786;5446;3832;8302;7943;42119;1910;2630;4417;4258;2165;14346;12955;12504;3457;4212;14348;7449;3715;7444;14388;16474;14110;4120;11174;9826;13666;5748;7502;22323;11152;11635;10234;7243;11313;7754;11809;6443;15102;22498;14129;41237;33403;16471;15522;18413;16103;19037;14547;55679;15547;17400;24112;16614;15595;17555;28229;18512;19192;16154;20416;19060;19544;18943;19827;22400;22602;49067;31148;22077;25770;43911;38725;12940;15046;12360;37019;24457;24753;25153;26023;42382
Praça Seca;40172;30030;27487;26613;26691;24577;26243;14506;27720;15525;25902;12835;12794;25373;14913;12865;28000;12831;27550;8604;12670;11843;27631;12474;11649;12108;28100;29228;11672;11874;11981;10742;9907;10057;8901;8969;13688;9284;15333;10231;17248;8600;14777;10939;8970;6956;8149;36100;9270;13294;5891;13788;4590;5894;13665;11593;9466;24038;6440;4683;41360;9273;18040;6452;9129;12506;14570;5086;8514;10501;6788;3986;3179;11925;5020;7800;2322;6835;21835;36248;13374;10284;0;14468;8775;16803;17840;29211;9433;12898;7871;13514;10743;21647;20256;23065;12396;13151;21650;15950;12033;15945;2261;5933;9407;11331;6735;20751;20968;15028;16441;29624;22725;23678;21448;16523;22326;15797;4666;15723;25663;29800;25070;33095;23159;25751;26463;7941;27044;29977;7026;49060;9240;6929;13143;27811;9546;28751;17986;29709;30133;27351;16416;30257;13495;30140;31024;26387;27586;39006;21087;29380;24561;33850;28664;20241;9094;23301;30400;17838;18134;17011;19404;32321
Benfica;30864;20722;18180;17306;17384;15269;16936;15644;18413;17004;16594;17112;13378;16066;18578;19818;18692;12148;18243;12702;25995;18188;18324;18356;11458;9879;18792;19920;18278;22084;27929;17205;13485;26005;13178;16344;7909;11384;6017;25956;7941;14322;6648;24800;11458;18185;12549;52492;8375;7338;13622;27649;16312;15109;4278;6388;9013;40430;16644;15648;57752;23133;31901;10270;22584;4167;3311;13209;8795;5162;11780;14189;18661;5018;12926;24654;15020;10609;42981;52641;3884;5783;17504;0;11803;2906;2548;51893;7543;2851;11202;1750;6337;7596;6205;9014;3922;3488;7599;2053;7048;2048;19633;21719;19355;7166;16419;6333;6550;3626;3911;15573;7920;7901;6642;6319;7721;7222;17054;5886;11612;15749;10652;55117;38648;15235;12045;23658;12626;15560;19792;65453;20792;22645;29357;12884;20840;13824;33474;14781;15715;12424;19181;15330;24790;15212;16096;18669;18872;54312;36393;18346;22039;49156;43970;6190;23359;8883;46793;34231;34527;30872;35797;47627
Engenho de Dentro;35400;25257;22715;21841;21919;19804;21471;16955;22948;18811;21130;15959;15243;20601;14053;15989;23227;13730;22778;11728;17260;14967;22859;15598;13771;12192;23328;24455;14796;14998;16571;13866;11818;14647;12025;12093;10222;9718;10560;14821;12476;11724;10005;17720;9792;11106;11274;41357;7424;8522;9015;20569;9232;9018;8892;6821;6398;29295;9564;8568;46617;16054;24821;7654;15504;7733;9798;6704;4205;5729;3366;6404;11581;7153;4648;15673;7940;3650;28616;41506;6154;3744;10424;8487;0;10075;9573;40758;2247;5756;2322;6372;2756;16875;13357;14453;5406;6162;16878;8674;4912;9217;10653;12739;10375;2388;7439;11775;12536;8039;9452;20161;13460;13926;12183;9533;13262;7810;8074;8734;17051;19323;16078;45890;29668;18762;17472;14678;18052;20986;10811;54318;11811;13665;20377;18564;11860;19504;24494;20461;21142;18104;18988;21010;15809;20892;21776;24349;24552;45331;27413;24026;26875;40176;34990;15469;13684;14310;35658;23096;23392;23792;24662;38647
São Cristóvão;29596;19454;16911;16037;16115;14001;15667;18162;17144;17828;15326;18814;14202;14797;19402;20641;17424;12972;16974;14406;26819;19012;17055;20059;13161;11582;17524;18652;19980;22907;28753;18908;15188;26829;14881;18047;9612;13087;7114;26780;7125;16025;8351;26503;13161;19888;14252;53316;10078;9041;15324;29352;18015;16812;5982;8091;10716;41254;18347;17351;58576;24836;33604;11972;24287;5870;5014;14912;10498;6864;13484;15892;20364;7191;14629;26357;16723;12312;43805;53465;5587;8310;19207;3164;13506;0;1334;52717;9087;5179;12904;4078;8665;6605;4539;6041;6250;5816;6608;4381;8145;4263;21336;23422;21058;9495;18122;3370;3587;5954;3122;11749;5338;6291;4061;6352;4945;8297;18757;6961;8639;10933;7689;55941;40351;15268;12683;25361;9663;12596;21495;66276;22495;24348;31060;10104;22543;11044;35177;12002;12752;9644;24612;12550;26492;12433;13317;15890;16092;56015;38096;15567;19260;50859;45673;7005;24182;5920;47617;35055;35350;32575;36621;49330
Vasco da Gama;30354;20212;17669;16795;16873;14759;16425;15133;17902;16494;16084;20448;12868;15556;18068;19307;18182;11638;17732;14606;25485;17678;17813;21692;13209;10834;18282;19410;21521;21573;27419;20449;15473;25495;15081;18247;8864;13288;5507;25446;7430;16225;8623;25754;13362;19140;14452;51982;10278;8293;15525;28604;17266;17052;5494;7983;10916;39920;17598;16603;57242;27458;37266;12173;23538;5941;4568;14164;9750;8069;12735;15144;19616;6745;13881;25608;15974;11563;42471;52131;5141;7864;18459;2718;12757;2096;0;51383;8642;4733;12156;3632;8012;5894;4504;7312;5597;5162;5897;3728;8723;3723;20588;22674;20310;8841;17374;4998;5215;5301;6033;13872;6972;7925;5695;7994;6573;8896;18009;7561;9910;14047;9317;54607;39603;16910;10710;24612;11291;14224;20746;64942;21746;23600;30312;11425;21795;12366;34429;13323;14380;10965;25934;13871;25744;13754;14638;17211;17413;55266;37348;16888;20581;50111;44924;4488;22849;7548;46283;33721;34016;36237;35287;48582
Inhoaíba;69663;59521;56979;56105;56183;54068;55735;40706;57212;39199;55394;35604;39981;54865;38585;36907;57491;41435;57042;36599;32237;35885;57123;34012;40884;42679;57591;58719;33207;33411;32365;32279;37728;30440;36112;33505;44260;39000;50398;27398;49446;35586;47091;20023;39514;32947;38694;8905;41392;46554;38786;17882;32590;35789;48144;43273;40011;11574;36681;33948;5948;22140;16004;41267;34574;45530;49482;39078;41836;43880;41382;31720;27157;45305;32754;27918;30867;41429;8894;3423;46753;44878;30355;47848;43369;53475;52740;0;44027;47253;42465;48108;45337;56546;55156;57964;48080;48835;56549;53123;46627;53117;31524;35226;43540;45925;40868;55650;55867;50371;54980;64524;57624;58577;56347;51866;57225;52377;38799;51066;60562;64699;59969;10463;33977;61094;61362;37685;61943;64877;38665;13874;43373;36480;41645;62710;41097;63651;35474;64608;65032;62250;50549;65156;45235;65039;65923;53271;54470;16976;29501;56264;51445;27952;31788;55140;30995;58200;8145;18581;21684;13443;18339;19931
